name	b_number	multi_fun
uspG	b0607	BC-5.10:BC-5.5:BC-5.6
ybdR	b0608	ORFs
yldA	b4734	ORFs
rnk	b0610	BC-3.1.4
rna	b0611	BC-1.2.1:BC-2.2.4
citT	b0612	BC-1.1.1:BC-4.2.A:BC-6.1
citG	b0613	BC-2.3
citX	b0614	BC-2.3.3
citF	b0615	BC-1.7.1
citE	b0616	BC-1.7.1
citD	b0617	BC-1.6.15.4:BC-1.7.1
citC	b0618	BC-2.3.3:BC-3.1.3.2
dpiB	b0619	BC-2.3.3:BC-3.1.2.4.3:BC-6.1
dpiA	b0620	BC-2.2.2:BC-3.1.2.2:BC-3.1.2.4.3:BC-3.3.1
dcuC	b0621	BC-1.1.1:BC-4.2.A:BC-6.1
pagP	b0622	BC-1.6.3.3
cspE	b0623	BC-3.1.2
crcB	b0624	BC-5.6
ybeM	b4581	Pseudo-Genes
tatE	b0627	BC-4.2:BC-6.1
lipA	b0628	BC-1.5.3.3
ybeF	b0629	BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3
lipB	b0630	BC-1.5.3.3
ybeD	b0631	BC-5.5.2
dacA	b0632	BC-1.6.7:BC-5.1:BC-5.6.4
rlpA	b0633	Unclassified-Genes
mrdB	b0634	BC-4.9.B:BC-5.1:BC-6.1
mrdA	b0635	BC-1.6.7:BC-5.6.4:BC-6.2
rlmH	b0636	BC-2.2.3
rsfS	b0637	BC-2.3.2:BC-3.1.3.1
cobC	b0638	BC-1.5.3.13
nadD	b0639	BC-1.5.3.7
holA	b0640	BC-2.1.1
lptE	b0641	BC-1.6.3
leuS	b0642	BC-2.3.1
ybeL	b0643	Unclassified-Genes
ybeQ	b0644	Conserved-Hypothetical-ORFs
ybeR	b0645	Conserved-Hypothetical-ORFs
djlB	b0646	BC-2.3.4
ybeT	b0647	Conserved-Hypothetical-ORFs
ybeU	b0648	Unclassified-Genes
djlC	b0649	BC-2.3.4
hscC	b0650	BC-2.3.4
rihA	b0651	BC-1.7.33
gltL	b0652	BC-1.5.1.1:BC-1.5.1.5:BC-4.3.A.1.a
gltK	b0653	BC-1.5.1.1:BC-1.5.1.5:BC-4.3.A.1.m:BC-6.1
gltJ	b0654	BC-1.5.1.1:BC-1.5.1.5:BC-4.3.A.1.m:BC-6.1
gltI	b0655	BC-1.5.1.1:BC-4.3.A.1.p
insH-3	b0656	BC-8.3
lnt	b0657	BC-1.6.10:BC-6.1
ybeX	b0658	BC-6.1
ybeY	b0659	BC-2.3.2
ybeZ	b0660	Unclassified-Genes
miaB	b0661	BC-2.2.3
ubiF	b0662	BC-1.5.3.11
asnB	b0674	BC-1.1.3:BC-1.5.1.6
umpH	b0675	BC-1.5.2.4
nagC	b0676	BC-1.7.12:BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3:BC-3.1.3.1:BC-3.3.1
nagA	b0677	BC-1.7.12
nagB	b0678	BC-1.7.12
nagE	b0679	BC-1.1.4:BC-1.7.12:BC-4.4.A:BC-6.1
glnS	b0680	BC-2.3.1
chiP	b0681	BC-4.1.B
chiQ	b0682	Conserved-Hypothetical-ORFs
fur	b0683	BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3:BC-3.3.2
uof	b4637	BC-3.1.3
fldA	b0684	BC-1.4.1
ybfE	b0685	Unclassified-Genes
ybfF	b0686	Unclassified-Genes
seqA	b0687	BC-2.1.1
pgm	b0688	BC-1.1.1:BC-1.7.9
ybfP	b0689	ORFs
ybfG	b0691	Pseudo-Genes
potE	b0692	BC-1.1.4:BC-4.2.A:BC-6.1
speF	b0693	BC-1.1.3
ybfK	b4590	Phantom-Genes
kdpE	b0694	BC-2.2.2:BC-3.1.2.2:BC-3.1.2.4.3:BC-3.3.1
kdpD	b0695	BC-2.3.3:BC-3.1.2.4.3:BC-3.1.3.2:BC-6.1
kdpC	b0696	BC-4.3.A.3:BC-6.1
kdpB	b0697	BC-4.3.A.3:BC-6.1
kdpA	b0698	BC-4.3.A.3:BC-6.1
kdpF	b4513	BC-4.3.A.3
ybfA	b0699	ORFs
rhsC	b0700	ORFs
ybfB	b0702	Unclassified-Genes
ybfO	b0703	Pseudo-Genes
ybfC	b0704	ORFs
ybfQ	b4514	Unclassified-Genes
ybfL	b0705	BC-8.3
ybfD	b0706	Unclassified-Genes
ybgA	b0707	Unclassified-Genes
phr	b0708	BC-2.1.4
dtpD	b0709	BC-1.1.3:BC-4.2.A:BC-6.1
ybgI	b0710	Unclassified-Genes
pxpB	b0711	BC-5.6.2
pxpC	b0712	BC-5.6.2
pxpA	b0713	BC-5.6.2
nei	b0714	BC-2.1.4
abrB	b0715	BC-3.1.2:BC-4.9.B:BC-6.1
ybgO	b0716	Conserved-Hypothetical-ORFs
ybgP	b0717	BC-2.3.4
ybgQ	b0718	Unclassified-Genes
ybgD	b0719	BC-6.5
gltA	b0720	BC-1.3.4
ybgU	b4735	ORFs
sdhC	b0721	BC-1.3.4:BC-1.3.6:BC-1.4.1:BC-1.6.15.1:BC-6.1
sdhD	b0722	BC-1.3.4:BC-1.3.6:BC-1.4.1:BC-1.6.15.1:BC-6.1
sdhA	b0723	BC-1.3.4:BC-1.3.6:BC-1.4.1:BC-6.1
sdhB	b0724	BC-1.3.4:BC-1.3.6:BC-1.4.1:BC-6.1
sucA	b0726	BC-1.3.4
sucB	b0727	BC-1.3.4
sucC	b0728	BC-1.3.4
sucD	b0729	BC-1.3.4
mngR	b0730	BC-1.3.4:BC-2.2.2:BC-3.1.2.3
mngA	b0731	BC-1.1.1:BC-2.3.3:BC-4.4.A:BC-5.5.2:BC-6.1
mngB	b0732	BC-1.1.1
cydA	b0733	BC-1.4.2:BC-6.1
cydB	b0734	BC-1.4.2:BC-6.1
cydX	b4515	BC-1.4:BC-6.1
ybgE	b0735	Conserved-Hypothetical-ORFs
ybgC	b0736	Unclassified-Genes
tolQ	b0737	BC-6.1:BC-8.1:BC-8.4
tolR	b0738	BC-6.1:BC-8.1
tolA	b0739	BC-6.1:BC-8.1:BC-8.4
tolB	b0740	BC-4.1.B:BC-8.1:BC-8.4
pal	b0741	BC-8.1
cpoB	b0742	BC-3.1.3.3
nadA	b0750	BC-1.5.3.7
pnuC	b0751	BC-1.7.33:BC-4.9.A:BC-6.1
zitB	b0752	BC-4.2.A:BC-6.1
ybgS	b0753	Unclassified-Genes
aroG	b0754	BC-1.5.1.13
gpmA	b0755	BC-1.3.1:BC-1.7
galM	b0756	BC-1.1.1
galK	b0757	BC-1.1.1:BC-1.6.2:BC-1.7.7:BC-6.7
galT	b0758	BC-1.1.1:BC-1.6.2:BC-1.7.7:BC-6.7
galE	b0759	BC-1.1.1:BC-1.6.2:BC-1.7.7:BC-6.3:BC-6.7
modF	b0760	ORFs
modE	b0761	BC-1.5.3.4:BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3:BC-3.3.1
acrZ	b0762	BC-5.5
modA	b0763	BC-1.5.3.4:BC-4.3.A.1.p
modB	b0764	BC-4.3.A.1.m:BC-6.1
modC	b0765	BC-1.5.3.4:BC-4.3.A.1.a
ybhA	b0766	BC-1.7:BC-1.7.27
pgl	b0767	BC-1.3.2
ybhD	b0768	BC-2.2.2:BC-3.1.2
ybhH	b0769	Unclassified-Genes
ybhI	b0770	BC-4.2.A:BC-6.1
ybhJ	b0771	ORFs
ybhC	b0772	Unclassified-Genes
ybhB	b0773	BC-3.1.3.3
bioA	b0774	BC-1.5.3.1
bioB	b0775	BC-1.5.3.1
bioF	b0776	BC-1.5.3.1
bioC	b0777	BC-1.5.3.1
bioD	b0778	BC-1.5.3.1
uvrB	b0779	BC-1.2.2:BC-2.1.4:BC-2.1.5:BC-5.6.1:BC-5.8
ybhK	b0780	ORFs
moaA	b0781	BC-1.5.3.4
moaB	b0782	BC-1.5.3.4
moaC	b0783	BC-1.5.3.4
moaD	b0784	BC-1.5.3.4
moaE	b0785	BC-1.5.3.4
ybhL	b0786	Unclassified-Genes
ybhM	b0787	BC-6.1
ybhN	b0788	Unclassified-Genes
clsB	b0789	BC-1.6.1
ybhP	b0790	BC-2.1.5
ybhQ	b0791	ORFs
ybhR	b0792	BC-4.3.A.1.m:BC-6.1
ybhS	b0793	BC-4.3.A.1.m:BC-6.1
ybhF	b0794	BC-4.3.A.1.a
ybhG	b0795	BC-4
cecR	b0796	BC-2.2.2:BC-3.1.2
rhlE	b0797	BC-2.2
ybiA	b0798	BC-5.6.2
dinG	b0799	BC-2.1:BC-2.1.4:BC-3.1.1.1:BC-5.8
ybiB	b0800	ORFs
hcxB	b0801	Unclassified-Genes
ybiJ	b0802	Conserved-Hypothetical-ORFs
ybiI	b0803	Conserved-Hypothetical-ORFs
ybiX	b0804	Unclassified-Genes
fiu	b0805	BC-4.1.B:BC-5.5.7
mcbA	b0806	BC-6
rlmF	b0807	BC-2.2.3
ybiO	b0808	BC-4.1:BC-5.5.1
glnQ	b0809	BC-1.5.1.2:BC-4.3.A.1.a
glnP	b0810	BC-1.5.1.2:BC-4.3.A.1.m:BC-6.1
glnH	b0811	BC-1.5.1.2:BC-4.3.A.1.p
dps	b0812	BC-1.7.19:BC-2.3.7:BC-5.5.3
rhtA	b0813	BC-4.2.A:BC-6.1
yliM	b4736	ORFs
ompX	b0814	BC-8.1
opgE	b0815	BC-6.1
mntS	b4705	Unclassified-Genes
mntR	b0817	BC-2.2.2:BC-3.1.2
ybiR	b0818	BC-4.3.A.4
ldtB	b0819	BC-1.6.7
ybiT	b0820	Unclassified-Genes
ybiU	b0821	Conserved-Hypothetical-ORFs
ybiV	b0822	Unclassified-Genes
ybiW	b0823	Unclassified-Genes
ybiY	b0824	BC-1.3.7:BC-2.3.3:BC-3.1.3.3
fsaA	b0825	BC-1
moeB	b0826	BC-1.5.3.4
moeA	b0827	BC-1.5.3.4
iaaA	b0828	BC-1.1.3
gsiA	b0829	BC-4.3.A.1.a
gsiB	b0830	BC-4.3.A.1.p
gsiC	b0831	BC-4.9.B
gsiD	b0832	BC-4.3.A.1.m:BC-6.1
pdeI	b0833	Unclassified-Genes
dgcI	b0834	Unclassified-Genes
rimO	b0835	BC-2.3.3
bssR	b0836	BC-2
yliI	b0837	BC-1
gstB	b0838	BC-5.6.2
dacC	b0839	BC-1.6.7
deoR	b0840	BC-1.7.33:BC-2.2.2:BC-3.1.2.3:BC-3.3.1
ybjG	b0841	BC-1.6.7:BC-5.6.4:BC-6.1
mdfA	b0842	BC-4.2.A:BC-5.6.4:BC-6.1
ybjH	b0843	ORFs
ybjI	b0844	BC-1.5.3.9
ybjJ	b0845	BC-4.9.B
rcdA	b0846	BC-3.1.4
ybjL	b0847	BC-4.9.B
ybjM	b0848	ORFs
grxA	b0849	BC-1.6.15.2
ybjC	b0850	Conserved-Hypothetical-ORFs
nfsA	b0851	Unclassified-Genes
rimK	b0852	BC-2.3.3
ybjN	b0853	BC-5.5
potF	b0854	BC-1.1.4:BC-4.3.A.1.p
potG	b0855	BC-1.1.4:BC-4.3.A.1.a
potH	b0856	BC-1.1.4:BC-4.3.A.1.m:BC-6.1
potI	b0857	BC-1.1.4:BC-4.3.A.1.m:BC-6.1
ybjO	b0858	ORFs
rlmC	b0859	BC-2.2.3
artJ	b0860	BC-1.5.1.3:BC-4.3.A.1.p
artM	b0861	BC-1.1.3:BC-1.5.1.3:BC-4.3.A.1.m:BC-6.1
artQ	b0862	BC-1.5.1.3:BC-4.3.A.1.m:BC-6.1
artI	b0863	BC-1.5.1.2:BC-4.3.A.1.p
artP	b0864	BC-1.5.1.3:BC-4.3.A.1.a
ybjP	b0865	ORFs
ybjQ	b0866	Unclassified-Genes
amiD	b0867	BC-1.2.3:BC-6.1:BC-6.2
ybjS	b0868	ORFs
ybjT	b0869	Unclassified-Genes
ltaE	b0870	BC-1.5.1.10
poxB	b0871	BC-1.1.1:BC-1.4.1:BC-1.7.28:BC-6.1
hcr	b0872	BC-1
hcp	b0873	BC-1.8.3
lysO	b0874	BC-4.9.B
aqpZ	b0875	BC-4.1.A:BC-5.5.1:BC-6.1
ybjD	b0876	ORFs
ybjX	b0877	Unclassified-Genes
macA	b0878	BC-4.8.A:BC-6.1
macB	b0879	BC-4.3.A.1.am:BC-6.1
cspD	b0880	BC-2.1.1:BC-3.1.1
clpS	b0881	BC-1.2.3:BC-2.3.6
clpA	b0882	BC-1.2.3:BC-2.3.4:BC-2.3.6
infA	b0884	BC-2.3.2
aat	b0885	BC-1.2.3:BC-2.3.6
cydC	b0886	BC-4.3.A.1.am:BC-6.1
cydD	b0887	BC-4.3.A.1.am:BC-6.1
trxB	b0888	BC-1.7.1
lrp	b0889	BC-1.5.1.18:BC-1.5.1.19:BC-2.2.2:BC-2.3.7:BC-3.1.2.2:BC-3.1.2.3:BC-3.3.1
ftsK	b0890	BC-4.9.A:BC-5.1:BC-5.8:BC-6.1
lolA	b0891	BC-4
rarA	b0892	BC-2.1.1:BC-2.1.3
serS	b0893	BC-2.3.1
dmsA	b0894	BC-1.3.7:BC-1.4.2:BC-6.1
dmsB	b0895	BC-1.3.7:BC-1.4.2:BC-6.1
dmsC	b0896	BC-1.3.7:BC-1.4.2:BC-6.1
ycaC	b0897	BC-1
ycaD	b0898	BC-4.2.A:BC-6.1
ycaM	b0899	BC-4.2.A:BC-6.1
ycaN	b0900	BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3
ycaK	b0901	BC-1
pflA	b0902	BC-1.3.7:BC-2.3.3:BC-3.1.3.3
pflB	b0903	BC-1.3.5
focA	b0904	BC-1.1.1:BC-4.2.A:BC-6.1
ycaO	b0905	BC-2.3.3
ycaP	b0906	Conserved-Hypothetical-ORFs
serC	b0907	BC-1.5.1.11
aroA	b0908	BC-1.5.1.20
ycaL	b0909	BC-1.2.3
cmk	b0910	BC-1.5.2.4:BC-1.7.33
rpsA	b0911	BC-2.3.2:BC-2.3.8:BC-6.6
ihfB	b0912	BC-2.1.3:BC-2.2.2:BC-2.3.7:BC-3.1.2.2:BC-3.1.2.3
ycaI	b0913	Unclassified-Genes
msbA	b0914	BC-4.3.A.1:BC-6.1
lpxK	b0915	BC-1.6.3.2:BC-1.6.3.3:BC-1.6.5:BC-6.1:BC-6.2:BC-6.3:BC-6.7
ycaQ	b0916	Unclassified-Genes
ycaR	b0917	Unclassified-Genes
kdsB	b0918	BC-1.6.3.2
ycbJ	b0919	Conserved-Hypothetical-ORFs
elyC	b0920	BC-1.6.7:BC-6.1
cmoM	b0921	BC-2.2.3:BC-2.2.5
mukF	b0922	BC-2.1:BC-5.1:BC-5.6.3
mukE	b0923	BC-2.1:BC-3.1.4:BC-5.1:BC-5.10
mukB	b0924	BC-5.1
ldtD	b0925	BC-1.6.7
ycbK	b0926	BC-1.6.7
gloC	b0927	BC-1.7.23
aspC	b0928	BC-1.1.3:BC-1.5.1.5
ompF	b0929	BC-4.1.B
asnS	b0930	BC-2.3.1
pncB	b0931	BC-1.5.3.7
pepN	b0932	BC-1.2.3:BC-2.3.6
ssuB	b0933	BC-1.8.2:BC-4.3.A.1.a
ssuC	b0934	BC-1.8.1:BC-4.3.A.1.m:BC-6.1
ssuD	b0935	BC-1.8.2
ssuA	b0936	BC-1.8.1:BC-4.3.A.1.p
ssuE	b0937	BC-1.8.2:BC-5.5.3
elfA	b0938	BC-6.5
elfD	b0939	BC-2.3.4
elfC	b0940	Unclassified-Genes
elfG	b0941	BC-6.5
ycbU	b0942	BC-6.5
ycbV	b0943	BC-6.5
ycbF	b0944	BC-2.3.4
pyrD	b0945	BC-1.5.2.2:BC-6.1
zapC	b0946	BC-5.1
ycbX	b0947	BC-5.6.2
rlmL	b0948	BC-2.2.3
uup	b0949	BC-8.1:BC-8.3
pqiA	b0950	BC-4:BC-6.1
pqiB	b0951	BC-4:BC-6.1
pqiC	b0952	BC-4:BC-6.1
rmf	b0953	BC-2.3.2:BC-6.6
fabA	b0954	BC-1.5.4
ycbZ	b0955	BC-2.3.6
matP	b0956	BC-5.1
ompA	b0957	BC-6.1
sulA	b0958	BC-3.1.3:BC-5.1:BC-5.8
sxy	b0959	BC-3.1.2.2
yccS	b0960	ORFs
yccF	b0961	Unclassified-Genes
helD	b0962	BC-2.1
mgsA	b0963	BC-1.7.23
yccT	b0964	Conserved-Hypothetical-ORFs
yccU	b0965	ORFs
hspQ	b0966	BC-3
rlmI	b0967	BC-2.2.3
yccX	b0968	Unclassified-Genes
tusE	b0969	BC-2.2.3
yccA	b0970	BC-2.3.6:BC-4.9.B:BC-6.1
hyaA	b0972	BC-1.3.6:BC-1.3.7:BC-1.4.1
hyaB	b0973	BC-1.3.6:BC-1.3.7:BC-1.4.1
hyaC	b0974	BC-1.3.6:BC-1.3.7:BC-1.4.1:BC-1.6.15.1:BC-6.1
hyaD	b0975	BC-1.3.6:BC-1.3.7:BC-2.3.3
hyaE	b0976	BC-1.3.6:BC-1.3.7:BC-2.3.4
hyaF	b0977	BC-1.3.6:BC-1.3.7:BC-2.3.4
appC	b0978	BC-1.4.2:BC-6.1
appB	b0979	BC-1.4.2:BC-6.1
appX	b4592	ORFs
appA	b0980	BC-1.8
etk	b0981	BC-2.3.3:BC-6.1
etp	b0982	BC-2.3.3
gfcE	b0983	Unclassified-Genes
gfcD	b0984	Unclassified-Genes
gfcC	b0985	Unclassified-Genes
gfcB	b0986	Unclassified-Genes
gfcA	b0987	BC-6.1
insA-4	b4516	BC-8.3
insB-4	b0988	BC-8.3
cspH	b0989	ORFs
cspG	b0990	BC-5.5.2
ymcF	b4723	Unclassified-Genes
ymcE	b0991	ORFs
gnsA	b4517	BC-1.6.1
yccM	b0992	ORFs
torS	b0993	BC-1.3.7:BC-2.3.3:BC-3.1.2.4.3:BC-3.1.3.2:BC-6.1
torT	b0994	BC-1.3.7:BC-2.3.3:BC-3.1.2.4.3
torR	b0995	BC-1.3.7:BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3:BC-3.1.2.4.3:BC-3.3.1
torC	b0996	BC-1.3.7:BC-1.4.2:BC-1.6.15.1:BC-3.3.1:BC-6.1
torA	b0997	BC-1.3.7:BC-1.4.2
torD	b0998	BC-2.3.4
cbpM	b0999	BC-2.3.4:BC-3.1.3.3
cbpA	b1000	BC-2.3.4:BC-2.3.7
yccE	b1001	ORFs
agp	b1002	BC-1.7.9
yccJ	b1003	ORFs
wrbA	b1004	Unclassified-Genes
ymdF	b4518	Unclassified-Genes
rutG	b1006	BC-4.2.A:BC-6.1
rutF	b1007	BC-1.8.3
rutE	b1008	BC-1.8.3
rutD	b1009	BC-1.8.3
rutC	b1010	BC-1.8.3
rutB	b1011	BC-1.8.3
rutA	b1012	BC-1.8.3
rutR	b1013	BC-2.2.2:BC-3.1.2.3:BC-3.3.1
putA	b1014	BC-1.1.3:BC-1.4.1:BC-2.2.2:BC-3.1.2.3
ymdG	b4737	ORFs
putP	b1015	BC-4.2.A:BC-6.1
efeU	b4490	Interrupted-Genes
efeO	b1018	Unclassified-Genes
efeB	b1019	Unclassified-Genes
phoH	b1020	BC-3.1.2.4.2:BC-5.5.3
pgaD	b1021	BC-1.6
pgaC	b1022	BC-1.6
pgaB	b1023	BC-1.6
pgaA	b1024	BC-4.1.B
dgcT	b1025	BC-5.3
insF-4	b1026	BC-8.3
insE-4	b1027	BC-8.3
ymdE	b1028	Pseudo-Genes
ycdU	b1029	ORFs
ghrA	b1033	BC-1
ycdX	b1034	Unclassified-Genes
ycdY	b1035	BC-2.3.4
ycdZ	b1036	Unclassified-Genes
csgG	b1037	BC-4.1
csgF	b1038	BC-1.6.13:BC-6.1
csgE	b1039	BC-4.8.A
csgD	b1040	BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3
csgB	b1041	BC-1.6.11:BC-6.5
csgA	b1042	BC-1.6.13:BC-5.10
csgC	b1043	BC-1.6.13:BC-5.10
ymdA	b1044	ORFs
ymdB	b1045	BC-3.1.3.3
clsC	b1046	BC-1.6.1
opgC	b1047	BC-1.6.6:BC-6.1
opgG	b1048	BC-1.6.6:BC-5.5.1
opgH	b1049	BC-5.5.1:BC-6.1
yceK	b1050	ORFs
msyB	b1051	Unclassified-Genes
mdtG	b1053	BC-4.2.A:BC-6.1
lpxL	b1054	BC-1.6.3.3:BC-6.1:BC-6.3
yceA	b1055	BC-2.2.5:BC-3.1.3.2
yceI	b1056	ORFs
yceJ	b1057	BC-1.6.15.1
yceO	b1058	BC-5.5.4
solA	b1059	BC-1
bssS	b1060	BC-2
dinI	b1061	BC-2.1.4:BC-5.8
pyrC	b1062	BC-1.5.2.2
yceB	b1063	Unclassified-Genes
grxB	b1064	BC-1.6.15.2
mdtH	b1065	BC-4.2.A:BC-6.1
rimJ	b1066	BC-2.3.3
yceH	b1067	Conserved-Hypothetical-ORFs
yceM	b1068	Unclassified-Genes
murJ	b1069	BC-4.2.A:BC-6.1
flgN	b1070	BC-1.6.12:BC-2.3.4:BC-5.3:BC-6.4
flgM	b1071	BC-2.2.2:BC-3.1.2.1:BC-5.3:BC-6.4
flgA	b1072	BC-1.6.12:BC-5.3:BC-6.4
flgB	b1073	BC-1.6.12:BC-5.3:BC-6.4
flgC	b1074	BC-1.6.12:BC-5.3:BC-6.4
flgD	b1075	BC-1.6.12:BC-5.3:BC-6.4
flgE	b1076	BC-1.6.12:BC-5.3:BC-6.4
flgF	b1077	BC-1.6.12:BC-5.3:BC-6.4
flgG	b1078	BC-1.6.12:BC-5.3:BC-6.4
flgH	b1079	BC-1.6.12:BC-5.3:BC-6.4
flgI	b1080	BC-1.6.12:BC-5.3:BC-6.4
flgJ	b1081	BC-1.6.12:BC-5.3:BC-6.4
flgK	b1082	BC-1.6.12:BC-2.3.4:BC-5.3:BC-6.4
flgL	b1083	BC-1.6.12:BC-2.3.4:BC-5.3:BC-6.4
rne	b1084	BC-1.2.1:BC-2.2.4
yceQ	b1085	ORFs
rluC	b1086	BC-2.2.3
yceF	b1087	BC-1
yceD	b1088	ORFs
rpmF	b1089	BC-2.3.2:BC-2.3.8:BC-6.6
plsX	b1090	BC-1.6.1
fabH	b1091	BC-1.5.4
fabD	b1092	BC-1.5.4
fabG	b1093	BC-1.5.4
acpP	b1094	BC-1.6.15.4
fabF	b1095	BC-1.5.4
pabC	b1096	BC-1.5.3.2
mltG	b1097	BC-1.6.7:BC-5.1
tmk	b1098	BC-1.7.33
holB	b1099	BC-2.1.1
ycfH	b1100	ORFs
ptsG	b1101	BC-1.1.1:BC-2.3.3:BC-3.1.3.2:BC-4.4.A:BC-6.1
fhuE	b1102	BC-1.7.19:BC-4.1.B:BC-5.5.7
hinT	b1103	BC-1
ycfL	b1104	Unclassified-Genes
lpoB	b1105	BC-1.6.7:BC-6.1
thiK	b1106	BC-1.5.3.8
nagZ	b1107	BC-1.7.34
ycfP	b1108	Unclassified-Genes
ndh	b1109	BC-1.3.6:BC-1.4.1
ycfJ	b1110	Unclassified-Genes
comR	b1111	BC-3.1.2
bhsA	b1112	BC-5.5
ldtC	b1113	BC-1.6.7
mfd	b1114	BC-2.1.4
ycfT	b1115	BC-4.9.B
lolC	b1116	BC-4.3.A.1.m:BC-6.1
lolD	b1117	BC-4.3.A.1.a
lolE	b1118	BC-4.3.A.1.m:BC-6.1
nagK	b1119	BC-1.7.34
cobB	b1120	Unclassified-Genes
ycfZ	b1121	ORFs
ymfA	b1122	Conserved-Hypothetical-ORFs
potD	b1123	BC-1.1.4:BC-4.3.A.1.p
potC	b1124	BC-1.1.4:BC-4.3.A.1.m:BC-6.1
potB	b1125	BC-1.1.4:BC-4.3.A.1.m:BC-6.1
potA	b1126	BC-1.1.4:BC-4.3.A.1.a
pepT	b1127	BC-1.2.3:BC-2.3.6
roxA	b1128	BC-2.3.3
phoQ	b1129	BC-2.3.3:BC-3.1.2.4.3:BC-3.1.3.2:BC-6.1
phoP	b1130	BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3:BC-3.1.2.4.3:BC-3.3.1
purB	b1131	BC-1.5.2.1
hflD	b1132	Unclassified-Genes
mnmA	b1133	BC-2.2.3
nudJ	b1134	BC-1
rluE	b1135	BC-2.2.3
icd	b1136	BC-1.3.4
ymfD	b1137	BC-8.1
ymfE	b1138	BC-8.1
lit	b1139	BC-3.1.3.4:BC-8.1
intE	b1140	BC-8.1
xisE	b1141	BC-8.1
ymfH	b1142	BC-8.1
ymfI	b1143	BC-8.1
ymfJ	b1144	BC-8.1
ymfK	b1145	BC-8.1
ymfT	b1146	BC-8.1
ymfL	b1147	BC-8.1
ymfM	b1148	BC-5.1:BC-5.8:BC-8.1
oweE	b4692	Pseudo-Genes
ymfN	b1149	BC-8.1
aaaE	b4693	Pseudo-Genes
ymfR	b1150	BC-8.1
beeE	b1151	BC-8.1
jayE	b1152	Pseudo-Genes
ymfQ	b1153	BC-8.1
ycfK	b1154	BC-8.1
tfaP	b1155	BC-8.1
tfaE	b1156	BC-8.1
stfE	b1157	BC-8.1
pinE	b1158	BC-8.1
mcrA	b1159	BC-8.1
icdC	b4519	Pseudo-Genes
iraM	b1160	BC-3.1.3:BC-5.5.3
ymgK	b4738	ORFs
ymgL	b4739	ORFs
ycgX	b1161	ORFs
bluR	b1162	BC-2.2.2
bluF	b1163	BC-3.1.3
ycgZ	b1164	ORFs
ymgA	b1165	ORFs
ariR	b1166	BC-3.1.4:BC-5.5.4:BC-5.5.6
ymgC	b1167	ORFs
pdeG	b1168	Unclassified-Genes
ymgF	b4520	BC-5.1
ycgH	b4491	Interrupted-Genes
ymgD	b1171	ORFs
ymgG	b1172	Conserved-Hypothetical-ORFs
ymgI	b4593	ORFs
ymgJ	b4594	ORFs
ycgI	b4521	Interrupted-Genes
minE	b1174	BC-5.1:BC-5.2:BC-6.1
minD	b1175	BC-5.1:BC-5.2:BC-6.1
minC	b1176	BC-5.1:BC-5.2
ycgJ	b1177	ORFs
pliG	b1178	BC-5.6
ycgL	b1179	Unclassified-Genes
ycgM	b1180	ORFs
ycgN	b1181	Unclassified-Genes
hlyE	b1182	BC-5.6.3
umuD	b1183	BC-2.1.1:BC-2.1.4:BC-2.2.2:BC-5.8
umuC	b1184	BC-2.1.1:BC-2.1.4:BC-5.8
dsbB	b1185	BC-2.3.3:BC-6.1
nhaB	b1186	BC-4.2.A:BC-5.5.4:BC-6.1
fadR	b1187	BC-1.1.2:BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3:BC-3.3.1:BC-3.3.2
ycgB	b1188	Unclassified-Genes
dadA	b1189	BC-1.1.3
dadX	b1190	BC-1.1.3:BC-1.5.1.17
ymgM	b4740	ORFs
cvrA	b1191	BC-4.2.A:BC-6.1
ldcA	b1192	BC-1.2.3:BC-1.7.34:BC-6.2
emtA	b1193	BC-1.2.3:BC-6.1
ycgR	b1194	BC-3:BC-5.3
ymgE	b1195	Conserved-Hypothetical-ORFs
ycgY	b1196	ORFs
treA	b1197	BC-1.7.9:BC-5.5.1
dhaM	b1198	BC-1.1.1
dhaL	b1199	BC-1.1.1
dhaK	b1200	BC-1.1.1
dhaR	b1201	BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3:BC-3.1.2.4.3
ycgV	b1202	Unclassified-Genes
ychF	b1203	BC-5.5.6
pth	b1204	BC-2.3.2
ychH	b1205	BC-5.5.6
dauA	b1206	BC-4.9.A:BC-6.1
prs	b1207	BC-1.5.2.3
ispE	b1208	BC-1.5.3.11
lolB	b1209	Unclassified-Genes
hemA	b1210	BC-1.5.3.12
prfA	b1211	BC-2.3.2
prmC	b1212	BC-2.3.3
ychQ	b1213	Unclassified-Genes
ychA	b1214	Unclassified-Genes
kdsA	b1215	BC-1.6.3.2
ldrA	b4419	BC-5.6.3
ldrB	b4421	BC-5.6.3
ldrC	b4423	BC-5.6.3
chaA	b1216	BC-4.2.A:BC-6.1
chaB	b1217	BC-3
chaC	b1218	BC-5.3
ychN	b1219	ORFs
